Beds,SqFt,Built,Garage,FullBaths,HalfBaths,LotSqFt,AboveMeanPrice
5,2093,1979,0,3,0,10454,0
4,3864,1997,2,3,1,8712,1
5,4944,1994,2,4,1,12197,1
4,3766,1990,2,3,1,6098,1
3,3751,1992,2,4,1,5227,1
5,5572,1997,2,4,1,10019,1
3,1964,1974,2,2,1,134600,1
3,1876,1977,0,2,1,5227,0
5,6753,2017,3,5,1,143312,1
4,2740,1986,2,3,1,9583,1
3,2689,1986,1,3,1,8276,1
4,1957,1986,1,2,1,7841,1
4,1980,1988,2,3,0,5227,0
4,3492,1985,2,2,1,10019,1
3,2000,1984,0,2,1,4792,0
5,9689,2015,3,6,1,130680,1
4,2040,1974,1,2,1,10019,0
5,3016,2012,2,3,1,6098,1
3,3783,1898,2,2,0,43560,1
5,4449,2014,2,3,1,22651,1
5,4615,2015,2,3,1,20038,1
5,6392,2007,3,5,1,18295,1
4,3008,1985,2,3,1,11326,1
4,6451,2001,3,4,1,159865,1
5,5259,2001,2,4,1,8276,1
5,4512,2001,2,3,1,8276,1
5,4718,2010,2,4,1,11761,1
5,5800,2012,3,4,1,20473,1
3,2046,1985,2,2,1,6534,0
4,2408,1979,2,2,1,11326,0
4,2993,1985,2,3,1,10019,1
5,5074,2005,3,4,1,131116,1
4,2194,1974,2,3,0,457380,1
5,4637,2014,2,4,1,6970,1
2,2160,1999,0,2,1,869458,1
5,4546,2014,2,4,1,20909,1
4,3968,1987,5,4,0,134165,1
4,3930,2004,2,3,1,9148,1
4,4688,1994,2,3,1,10890,1
4,3759,1994,2,2,1,10019,1
4,5373,2009,3,4,1,13068,1
4,4666,2005,2,4,1,8276,1
4,4263,2006,2,4,1,8276,1
4,3994,2004,2,3,1,7841,1
4,4837,2004,2,3,1,7405,1
4,3923,2004,2,3,1,10890,1
6,5700,2004,2,5,1,10454,1
4,6252,2004,2,4,1,10454,1
5,5907,2004,2,4,1,10019,1
4,3793,2005,3,3,1,16988,1
5,4132,1950,1,4,0,43124,1
4,3007,1974,2,3,1,19166,1
6,8447,2005,3,6,1,351529,1
4,3426,1996,2,3,1,9148,1
5,4314,2012,2,3,1,6534,1
6,4912,2007,2,5,0,15682,1
4,4313,2000,2,3,1,5663,1
6,5171,2017,2,4,0,7841,1
5,3875,2013,3,4,0,11326,1
4,2358,1973,4,3,0,112820,1
4,2103,1987,2,2,1,7841,1
3,1963,1978,2,2,1,8712,0
